,Board State,Score,Best Move,Depth
4519,"((0, 0, 0), (0, 0, 0), (0, 0, 0))",0,"(0, 0)",0
4472,"((0, 0, 0), (0, 0, 0), (1, 0, 0))",0,"(1, 1)",1
3862,"((0, 0, 0), (1, 0, 0), (0, 0, 0))",0,"(0, 0)",1
4216,"((0, 0, 0), (0, 1, 0), (0, 0, 0))",0,"(0, 0)",1
2623,"((0, 1, 0), (0, 0, 0), (0, 0, 0))",0,"(0, 0)",1
1454,"((1, 0, 0), (0, 0, 0), (0, 0, 0))",0,"(1, 1)",1
4518,"((0, 0, 0), (0, 0, 0), (0, 0, 1))",0,"(1, 1)",1
4509,"((0, 0, 0), (0, 0, 0), (0, 1, 0))",0,"(0, 1)",1
4407,"((0, 0, 0), (0, 0, 1), (0, 0, 0))",0,"(0, 2)",1
3359,"((0, 0, 1), (0, 0, 0), (0, 0, 0))",0,"(1, 1)",1
3312,"((0, 0, 1), (0, 0, -1), (0, 0, 0))",2,"(0, 0)",2
3831,"((0, 0, 0), (1, 0, -1), (0, 0, 0))",0,"(0, 0)",2
1097,"((1, 0, 0), (-1, 0, 0), (0, 0, 0))",2,"(0, 1)",2
3846,"((0, 0, 0), (1, 0, 0), (-1, 0, 0))",0,"(0, 2)",2
4435,"((0, -1, 0), (0, 0, 0), (1, 0, 0))",2,"(0, 0)",2
3337,"((0, 0, 1), (0, 0, 0), (-1, 0, 0))",2,"(0, 0)",2
1418,"((1, 0, 0), (0, 0, 0), (-1, 0, 0))",2,"(0, 1)",2
3856,"((0, 0, 0), (1, 0, 0), (0, -1, 0))",2,"(1, 1)",2
2930,"((-1, 0, 1), (0, 0, 0), (0, 0, 0))",2,"(1, 2)",2
4446,"((0, 0, -1), (0, 0, 0), (1, 0, 0))",2,"(0, 0)",2
3861,"((0, 0, 0), (1, 0, 0), (0, 0, -1))",2,"(2, 0)",2
3358,"((0, 0, 1), (0, 0, 0), (0, 0, -1))",2,"(0, 0)",2
505,"((1, -1, 0), (0, 0, 0), (0, 0, 0))",2,"(1, 0)",2
4455,"((0, 0, 0), (-1, 0, 0), (1, 0, 0))",2,"(1, 1)",2
4359,"((0, 0, -1), (0, 0, 1), (0, 0, 0))",0,"(0, 0)",2
2557,"((0, 1, 0), (0, 0, -1), (0, 0, 0))",2,"(0, 2)",2
1371,"((1, 0, 0), (0, 0, -1), (0, 0, 0))",2,"(0, 2)",2
4278,"((-1, 0, 0), (0, 0, 1), (0, 0, 0))",2,"(0, 2)",2
4422,"((-1, 0, 0), (0, 0, 0), (1, 0, 0))",2,"(0, 2)",2
3805,"((0, 0, 0), (1, -1, 0), (0, 0, 0))",0,"(0, 0)",2
1445,"((1, 0, 0), (0, 0, 0), (0, -1, 0))",2,"(0, 2)",2
3268,"((0, 0, 1), (0, -1, 0), (0, 0, 0))",0,"(0, 0)",2
4194,"((0, 0, 0), (0, 1, -1), (0, 0, 0))",2,"(0, 0)",2
3554,"((-1, 0, 0), (1, 0, 0), (0, 0, 0))",0,"(0, 1)",2
4326,"((0, -1, 0), (0, 0, 1), (0, 0, 0))",2,"(0, 2)",2
862,"((1, 0, -1), (0, 0, 0), (0, 0, 0))",2,"(1, 0)",2
3202,"((0, 0, 1), (-1, 0, 0), (0, 0, 0))",2,"(0, 0)",2
4394,"((0, 0, 0), (0, -1, 1), (0, 0, 0))",0,"(0, 0)",2
3692,"((0, -1, 0), (1, 0, 0), (0, 0, 0))",2,"(0, 0)",2
4381,"((0, 0, 0), (-1, 0, 1), (0, 0, 0))",0,"(0, 0)",2
2481,"((0, 1, 0), (0, -1, 0), (0, 0, 0))",0,"(0, 0)",2
4399,"((0, 0, 0), (0, 0, 1), (-1, 0, 0))",2,"(2, 2)",2
2352,"((0, 1, 0), (-1, 0, 0), (0, 0, 0))",2,"(0, 0)",2
4403,"((0, 0, 0), (0, 0, 1), (0, -1, 0))",2,"(1, 1)",2
1453,"((1, 0, 0), (0, 0, 0), (0, 0, -1))",2,"(0, 2)",2
4406,"((0, 0, 0), (0, 0, 1), (0, 0, -1))",0,"(0, 0)",2
4462,"((0, 0, 0), (0, -1, 0), (1, 0, 0))",0,"(0, 0)",2
3128,"((0, -1, 1), (0, 0, 0), (0, 0, 0))",2,"(1, 1)",2
3770,"((0, 0, -1), (1, 0, 0), (0, 0, 0))",2,"(0, 0)",2
2195,"((0, 1, -1), (0, 0, 0), (0, 0, 0))",0,"(1, 1)",2
3990,"((-1, 0, 0), (0, 1, 0), (0, 0, 0))",0,"(0, 1)",2
3352,"((0, 0, 1), (0, 0, 0), (0, -1, 0))",2,"(0, 0)",2
4480,"((-1, 0, 0), (0, 0, 0), (0, 1, 0))",2,"(2, 0)",2
4204,"((0, 0, 0), (0, 1, 0), (-1, 0, 0))",0,"(0, 0)",2
4511,"((0, -1, 0), (0, 0, 0), (0, 0, 1))",2,"(0, 2)",2
4146,"((0, 0, -1), (0, 1, 0), (0, 0, 0))",0,"(0, 0)",2
1269,"((1, 0, 0), (0, -1, 0), (0, 0, 0))",0,"(0, 1)",2
4502,"((0, 0, 0), (0, -1, 0), (0, 1, 0))",0,"(0, 0)",2
4211,"((0, 0, 0), (0, 1, 0), (0, -1, 0))",2,"(0, 0)",2
4087,"((0, -1, 0), (0, 1, 0), (0, 0, 0))",2,"(0, 0)",2
4510,"((-1, 0, 0), (0, 0, 0), (0, 0, 1))",2,"(0, 2)",2
4493,"((0, 0, -1), (0, 0, 0), (0, 1, 0))",2,"(2, 2)",2
2622,"((0, 1, 0), (0, 0, 0), (0, 0, -1))",2,"(0, 2)",2
4215,"((0, 0, 0), (0, 1, 0), (0, 0, -1))",0,"(0, 0)",2
4507,"((0, 0, 0), (0, 0, 0), (-1, 1, 0))",0,"(0, 0)",2
2593,"((0, 1, 0), (0, 0, 0), (-1, 0, 0))",2,"(0, 0)",2
4505,"((0, 0, 0), (0, 0, -1), (0, 1, 0))",2,"(1, 1)",2
4508,"((0, 0, 0), (0, 0, 0), (0, 1, -1))",0,"(0, 0)",2
4181,"((0, 0, 0), (-1, 1, 0), (0, 0, 0))",2,"(0, 0)",2
4487,"((0, -1, 0), (0, 0, 0), (0, 1, 0))",0,"(0, 0)",2
4498,"((0, 0, 0), (-1, 0, 0), (0, 1, 0))",2,"(1, 1)",2
1985,"((-1, 1, 0), (0, 0, 0), (0, 0, 0))",0,"(1, 0)",2
4469,"((0, 0, 0), (0, 0, 0), (1, -1, 0))",2,"(0, 0)",2
4517,"((0, 0, 0), (0, 0, 0), (0, -1, 1))",2,"(0, 2)",2
2615,"((0, 1, 0), (0, 0, 0), (0, -1, 0))",0,"(0, 0)",2
4471,"((0, 0, 0), (0, 0, 0), (1, 0, -1))",2,"(0, 0)",2
4515,"((0, 0, 0), (0, 0, -1), (0, 0, 1))",2,"(1, 1)",2
