,Board State,Score,Best Move,Depth
0,"((1, -1, 1), (-1, 1, -1), (-1, 1, 0))",2,"(2, 2)",8
1,"((1, -1, 1), (-1, 1, -1), (0, 1, -1))",2,"(2, 0)",8
2,"((1, -1, 1), (-1, 1, -1), (0, 1, 0))",2,"(2, 0)",7
3,"((1, -1, 1), (-1, 1, -1), (0, 0, 0))",2,"(2, 0)",6
4,"((1, -1, 1), (-1, 1, 1), (-1, -1, 0))",2,"(2, 2)",8
5,"((1, -1, 1), (-1, 1, 1), (-1, 0, -1))",0,"(2, 1)",8
6,"((1, -1, 1), (-1, 1, 1), (-1, 0, 0))",0,"(2, 2)",7
7,"((1, -1, 1), (-1, 1, 0), (-1, 1, -1))",0,"(1, 2)",8
8,"((1, -1, 1), (-1, 1, 0), (-1, 1, 0))",0,"(2, 2)",7
9,"((1, -1, 1), (-1, 1, 0), (-1, 0, 0))",2,"(2, 2)",6
10,"((1, -1, 1), (-1, 1, 1), (0, -1, -1))",2,"(2, 0)",8
11,"((1, -1, 1), (-1, 1, 1), (0, -1, 0))",2,"(2, 0)",7
12,"((1, -1, 1), (-1, 1, 0), (0, -1, 0))",2,"(1, 2)",6
13,"((1, -1, 1), (-1, 1, 1), (0, 0, -1))",0,"(2, 0)",7
14,"((1, -1, 1), (-1, 1, 0), (0, 1, -1))",0,"(2, 0)",7
15,"((1, -1, 1), (-1, 1, 0), (0, 0, -1))",2,"(2, 0)",6
16,"((1, -1, 1), (-1, 1, 0), (0, 0, 0))",2,"(1, 2)",5
17,"((1, -1, 1), (-1, -1, 1), (1, 0, -1))",0,"(2, 1)",8
18,"((1, -1, 1), (-1, -1, 1), (1, 0, 0))",-2,"(2, 1)",7
19,"((1, -1, 1), (-1, -1, 1), (-1, 1, 0))",2,"(2, 2)",8
20,"((1, -1, 1), (-1, -1, 1), (0, 1, -1))",0,"(2, 0)",8
21,"((1, -1, 1), (-1, -1, 1), (0, 1, 0))",0,"(2, 2)",7
22,"((1, -1, 1), (-1, -1, 1), (0, 0, 0))",2,"(2, 2)",6
23,"((1, -1, 1), (-1, 0, 1), (-1, 1, -1))",0,"(1, 1)",8
24,"((1, -1, 1), (-1, 0, 1), (-1, 1, 0))",0,"(2, 2)",7
25,"((1, -1, 1), (-1, 0, 1), (-1, 0, 0))",2,"(2, 2)",6
26,"((1, -1, 1), (-1, 0, 1), (1, -1, -1))",2,"(1, 1)",8
27,"((1, -1, 1), (-1, 0, 1), (1, -1, 0))",-2,"(1, 1)",7
28,"((1, -1, 1), (-1, 0, 1), (0, -1, 0))",2,"(1, 1)",6
29,"((1, -1, 1), (-1, 0, 1), (1, 0, -1))",0,"(1, 1)",7
30,"((1, -1, 1), (-1, 0, 1), (0, 1, -1))",0,"(1, 1)",7
31,"((1, -1, 1), (-1, 0, 1), (0, 0, -1))",0,"(1, 1)",6
32,"((1, -1, 1), (-1, 0, 1), (0, 0, 0))",0,"(2, 2)",5
33,"((1, -1, 1), (-1, -1, 0), (1, 1, -1))",0,"(1, 2)",8
34,"((1, -1, 1), (-1, -1, 0), (1, 1, 0))",-2,"(1, 2)",7
35,"((1, -1, 1), (-1, -1, 0), (1, 0, 1))",-2,"(1, 2)",7
36,"((1, -1, 1), (-1, -1, 0), (1, 0, 0))",-2,"(1, 2)",6
37,"((1, -1, 1), (-1, 0, -1), (1, 1, -1))",2,"(1, 1)",8
38,"((1, -1, 1), (-1, 0, -1), (1, 1, 0))",-2,"(1, 1)",7
39,"((1, -1, 1), (-1, 0, -1), (1, -1, 1))",2,"(1, 1)",8
40,"((1, -1, 1), (-1, 0, -1), (1, 0, 1))",-2,"(1, 1)",7
41,"((1, -1, 1), (-1, 0, -1), (1, 0, 0))",2,"(1, 1)",6
42,"((1, -1, 1), (-1, 0, 0), (1, -1, 1))",-2,"(1, 1)",7
43,"((1, -1, 1), (-1, 0, 0), (1, -1, 0))",2,"(1, 1)",6
44,"((1, -1, 1), (-1, 0, 0), (1, 1, -1))",0,"(1, 1)",7
45,"((1, -1, 1), (-1, 0, 0), (1, 0, -1))",2,"(1, 1)",6
46,"((1, -1, 1), (-1, 0, 0), (1, 0, 0))",-2,"(1, 1)",5
47,"((1, -1, 1), (-1, -1, 0), (-1, 1, 1))",2,"(1, 2)",8
48,"((1, -1, 1), (-1, -1, 0), (0, 1, 1))",-2,"(1, 2)",7
49,"((1, -1, 1), (-1, -1, 0), (0, 1, 0))",0,"(1, 2)",6
50,"((1, -1, 1), (-1, 0, -1), (-1, 1, 1))",2,"(1, 1)",8
